URN,School name,Ofsted phase,Inspection date,Publication date,Overall effectiveness,REPORURL
100000,Sir John Cass's Foundation Primary School,Primary,19/04/2013,14/05/2013,1,Report
100005,Thomas Coram Centre,Nursery,06/06/2014,02/07/2014,1,Report
100006,CCfL Key Stage 4 PRU,PRU,29/11/2017,20/12/2017,2,Report
100007,Camden Primary Pupil Referral Unit,PRU,15/05/2018,19/06/2018,2,Report
100008,Argyle Primary School,Primary,29/01/2015,26/02/2015,2,Report
100009,Beckford Primary School,Primary,24/01/2017,06/03/2017,2,Report
100010,Brecknock Primary School,Primary,22/11/2017,20/12/2017,2,Report
100011,Brookfield Primary School,Primary,19/04/2018,15/05/2018,2,Report
100012,Carlton Primary School,Primary,16/01/2015,06/02/2015,2,Report
100013,Edith Neville Primary School,Primary,05/06/2018,29/06/2018,2,Report
100014,Fleet Primary School,Primary,25/01/2017,15/03/2017,2,Report
100015,Hawley Primary School,Primary,15/05/2014,11/06/2014,2,Report
100018,Netley Primary School & Centre for Autism,Primary,09/07/2014,04/09/2014,2,Report
100019,New End Primary School,Primary,12/12/2017,12/01/2018,2,Report
100020,Primrose Hill School,Primary,05/06/2009,24/06/2009,1,Report
100021,Rhyl Primary School,Primary,24/01/2017,28/02/2017,2,Report
100022,Richard Cobden Primary School,Primary,05/12/2008,08/01/2009,1,Report
100023,Torriano Primary School,Primary,30/03/2009,27/04/2009,1,Report
100025,Gospel Oak Primary School,Primary,28/01/2016,23/02/2016,1,Report
100026,Fitzjohn's Primary School,Primary,19/11/2014,12/12/2014,2,Report
100027,Eleanor Palmer Primary School,Primary,19/10/2011,09/11/2011,1,Report
100028,"Christ Church Primary School, Hampstead",Primary,30/04/2009,21/05/2009,1,Report
100029,Christ Church School,Primary,24/01/2017,28/02/2017,2,Report
100030,Emmanuel Church of England Primary School,Primary,14/06/2007,02/07/2007,1,Report
100031,Hampstead Parochial Church of England Primary School,Primary,08/12/2015,22/01/2016,2,Report
100032,"Holy Trinity CofE Primary School, NW3",Primary,20/03/2018,23/04/2018,2,Report
100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",Primary,14/03/2007,29/03/2007,1,Report
100034,Kentish Town Church of England Primary School,Primary,05/12/2017,16/01/2018,1,Report
100035,Rosary Roman Catholic Primary School,Primary,07/02/2017,27/03/2017,2,Report
100036,St Alban's Church of England Primary School,Primary,10/01/2014,13/02/2014,1,Report
100037,St Aloysius Catholic Primary School,Primary,21/03/2018,01/05/2018,3,Report
100039,St Dominic's Catholic Primary School,Primary,03/05/2018,06/06/2018,2,Report
100040,St George the Martyr Church of England Primary School,Primary,15/11/2013,04/12/2013,1,Report
100041,St Josephs Catholic Primary School,Primary,27/02/2014,18/03/2014,1,Report
100042,St Mary's Kilburn Church of England Primary School,Primary,28/11/2017,20/12/2017,2,Report
100043,St Mary and St Pancras Church of England Primary School,Primary,17/11/2011,19/04/2012,1,Report
100044,St Michael's Church of England Primary School,Primary,07/12/2016,11/01/2017,2,Report
100045,St Patrick's Catholic Primary School,Primary,03/03/2016,18/04/2016,2,Report
100046,St Paul's Church of England Primary School,Primary,04/10/2016,07/11/2016,2,Report
100047,St Eugene de Mazenod Roman Catholic Primary School,Primary,08/12/2010,11/01/2011,1,Report
100048,Our Lady Roman Catholic Primary School,Primary,17/05/2017,19/06/2017,2,Report
100049,Haverstock School,Secondary,24/01/2017,16/03/2017,3,Report
100050,Parliament Hill School,Secondary,20/02/2018,13/03/2018,2,Report
100051,Regent High School,Secondary,31/01/2018,07/03/2018,2,Report
100052,Hampstead School,Secondary,13/09/2016,09/11/2016,2,Report
100053,Acland Burghley School,Secondary,07/03/2018,18/04/2018,2,Report
100054,The Camden School for Girls,Secondary,06/12/2007,21/12/2007,1,Report
100055,Maria Fidelis Roman Catholic Convent School FCJ,Secondary,23/11/2016,09/01/2017,2,Report
100056,William Ellis School,Secondary,01/03/2017,25/04/2017,2,Report
100059,La Sainte Union Catholic Secondary School,Secondary,25/02/2016,11/04/2016,2,Report
100060,Children's Hospital School at Gt Ormond Street and UCH,Special,26/06/2018,18/07/2018,1,Report
100091,Frank Barnes School for Deaf Children ,Special,21/03/2017,09/05/2017,1,Report
100092,Camden Centre for Learning (CCfL) Special School,Special,03/05/2017,26/05/2017,2,Report
100094,Royal Free Hospital Children's School,Special,06/02/2015,02/03/2015,2,Report
100096,Swiss Cottage School - Development & Research Centre,Special,03/05/2017,12/06/2017,1,Report
100097,Rachel McMillan Nursery School and Children's Centre,Nursery,19/09/2017,17/10/2017,1,Report
100098,Pound Park Nursery School,Nursery,22/09/2015,16/11/2015,1,Report
100099,Abbey Wood Nursery School,Nursery,04/07/2017,11/09/2017,2,Report
100102,Robert Owen Nursery School,Nursery,07/11/2017,04/12/2017,1,Report
100103,Newhaven Pupil Referral Unit,PRU,10/05/2016,22/06/2016,2,Report
100113,Bannockburn Primary School,Primary,10/01/2014,11/02/2014,1,Report
100114,Morden Mount Primary School,Primary,22/05/2018,18/06/2018,2,Report
